ProductID,ProductName,Description,ManufacturerID,CategoryID,UnitPrice
1,Beluga Caviar,"The pinnacle of luxury, Beluga caviar features large, delicate pearls with a buttery, smooth flavor and a rich, creamy texture.",53,10,115.94
2,Osetra Caviar,"A premium caviar with medium-sized pearls, offering a nutty, briny flavor and a firm, satisfying texture.",54,10,112.01
3,Sevruga Caviar,"A classic caviar with small, glossy pearls, offering a bold, briny flavor and a smooth, velvety finish.",54,10,166.53
4,Kaluga Hybrid Caviar,"A luxurious caviar with large, glossy pearls, offering a buttery, rich flavor and a delicate, melt-in-your-mouth texture.",52,10,159.27
5,Sterlet Caviar,"A rare and exquisite caviar with small, golden pearls, offering a delicate, slightly sweet flavor and a smooth, creamy texture.",52,10,131.89
6,Royal White Sturgeon Caviar,"A premium caviar with medium-sized pearls, offering a rich, buttery flavor and a smooth, luxurious finish.",51,10,183.38
7,Siberian Sturgeon Caviar,"A sustainable luxury caviar with medium-sized pearls, offering a balanced, briny flavor and a firm, satisfying texture.",53,10,199.17
8,Golden Osetra Caviar,"A rare and luxurious caviar with golden pearls, offering a nutty, buttery flavor and a smooth, creamy texture.",54,10,135.02
9,Ethiopian Yirgacheffe,"A single-origin coffee with bright, floral notes and a citrusy finish, offering a complex and vibrant flavor profile.",48,9,11.59
10,Colombian Supremo,"A well-balanced coffee with medium acidity, offering notes of caramel, nuts, and a hint of fruit.",49,9,14.72
11,Sumatra Mandheling,"A dark, earthy coffee with low acidity and notes of chocolate, tobacco, and a syrupy body.",46,9,12.24
12,Guatemalan Antigua,"A rich, full-bodied coffee with a smoky aroma and notes of cocoa, spice, and a hint of citrus.",48,9,16.42
13,Kenyan AA,"A bold, high-acidity coffee with bright berry notes and a wine-like finish, perfect for those who enjoy a vibrant cup.",45,9,17.58
14,Costa Rican Tarrazú,"A smooth, medium-bodied coffee with bright acidity and notes of honey, citrus, and a clean finish.",47,9,12.29
15,Brazilian Santos,"A low-acidity coffee with a nutty, chocolatey flavor and a smooth, creamy body.",44,9,18.66
16,Jamaican Blue Mountain,"A premium coffee with a mild, smooth flavor and notes of nuts, chocolate, and a bright acidity.",49,9,16.43
17,Hawaiian Kona,"A smooth, medium-bodied coffee with a rich aroma and notes of nuts, fruit, and a hint of spice.",50,9,19.67
18,Tanzanian Peaberry,"A bright, fruity coffee with medium acidity and notes of black currant, citrus, and a hint of chocolate.",49,9,9.55
19,Nicaraguan Maragogype,"A rare, large-bean coffee with a smooth, mild flavor and notes of caramel, nuts, and a hint of fruit.",50,9,19.8
20,Peruvian Andean,"A medium-bodied coffee with bright acidity and notes of citrus, floral, and a clean, crisp finish.",48,9,15.6
21,Mexican Chiapas,"A smooth, light-bodied coffee with bright acidity and notes of chocolate, nuts, and a hint of citrus.",44,9,13.6
22,Rwandan Bourbon,"A bright, fruity coffee with medium acidity and notes of red berries, citrus, and a floral finish.",49,9,16.25
23,Indonesian Sulawesi,"A full-bodied coffee with low acidity and notes of dark chocolate, earth, and a spicy finish.",50,9,19.02
24,Panamanian Geisha,"A highly sought-after coffee with a delicate, tea-like body and notes of jasmine, bergamot, and tropical fruit.",45,9,9.15
25,Bolivian Caranavi,"A medium-bodied coffee with bright acidity and notes of caramel, citrus, and a hint of floral sweetness.",44,9,19.08
26,Truffle Infused Olive Tapenade,"A gourmet blend of olives, capers, and black truffle, offering an earthy, savory flavor perfect for spreading on bread or pairing with cheeses.",37,7,81.66
27,Organic Blueberry Tea,"A caffeine-free herbal tea made from organic blueberries, offering a sweet, fruity flavor and numerous health benefits.",38,8,13.45
28,Handmade Orecchiette,"Small, ear-shaped pasta made with traditional techniques, offering a perfect texture for holding onto chunky sauces or vegetable-based dishes.",60,11,20.68
29,Fig Balsamic Glaze,"A thick, sweet, and tangy glaze made from aged balsamic vinegar and figs, perfect for drizzling over salads, cheeses, or desserts.",66,12,23.47
30,Italian Ricotta Salata Cheese,"A firm, salted cheese made from sheep's milk, offering a mild, tangy flavor perfect for grating over pasta or salads.",3,1,22.32
31,Dark Chocolate Orange Bark,"Rich dark chocolate studded with zesty orange pieces, offering a perfect balance of sweetness and citrusy tang.",7,2,10.43
32,Fennel Seeds,"Aromatic seeds with a sweet, licorice-like flavor, perfect for enhancing sausages, breads, and spice blends.",12,3,12.2
33,Grapeseed Oil Spray,"A convenient spray made from pure grapeseed oil, offering a light, neutral flavor and a high smoke point, perfect for cooking and baking.",16,4,12.06
34,Sauvignon Blanc White Wine,"A crisp, refreshing white wine with flavors of green apple, citrus, and herbal notes, perfect for pairing with seafood and salads.",25,5,48.84
35,Spanish Sobrasada Sausage,"A soft, spreadable sausage with a rich, smoky flavor, perfect for charcuterie boards, tapas, or spreading on bread.",30,6,16.95
36,Truffle Infused Pesto,"A luxurious blend of basil, pine nuts, Parmesan, and black truffle, offering an earthy, umami flavor that elevates pastas, sandwiches, and dips.",33,7,43.94
37,Organic Elderflower Tea,"A delicate, caffeine-free tea made from organic elderflowers, offering a floral, slightly sweet flavor perfect for relaxation and unwinding.",43,8,9.03
38,Handmade Farfalle,"Bow-tie shaped pasta made with traditional techniques, offering a delightful texture that pairs well with light cream sauces or pesto.",61,11,8.19
39,Pomegranate Balsamic Glaze,"A thick, sweet, and tangy glaze made from aged balsamic vinegar and pomegranates, perfect for drizzling over salads, cheeses, or desserts.",64,12,10.23
40,Greek Feta Cheese,"A brined cheese made from sheep's milk, offering a tangy, salty flavor perfect for salads, pastries, and Mediterranean dishes.",4,1,11.55
41,White Chocolate Macadamia Bark,"A delightful combination of creamy white chocolate and crunchy macadamia nuts, offering a sweet and indulgent treat.",8,2,9.31
42,Cumin Seeds,"Aromatic seeds with a warm, earthy flavor, perfect for enhancing curries, stews, and spice blends.",11,3,5.19
43,Walnut Oil Dressing,"A rich, nutty dressing made from pure walnut oil, perfect for enhancing salads, roasted vegetables, and grain bowls.",22,4,12.06
44,Prosecco Sparkling Wine,"A light, bubbly Italian sparkling wine with flavors of green apple, pear, and citrus, perfect for celebrations or as an aperitif.",27,5,247.47
45,Italian Capocollo,"A dry-cured pork shoulder with a rich, savory flavor, perfect for charcuterie boards, sandwiches, or antipasti.",29,6,28.11
46,Truffle Infused Cheese Spread,"A creamy cheese spread infused with black truffle, offering an earthy, umami flavor perfect for crackers, bread, or vegetables.",34,7,45.9
47,Organic Rosehip Tea,"A caffeine-free herbal tea made from organic rosehips, offering a tart, fruity flavor and numerous health benefits.",42,8,5.56
48,Handmade Cavatelli,"Small, shell-shaped pasta made with traditional techniques, offering a perfect texture for holding onto thick, hearty sauces.",60,11,7.62
49,Blackberry Balsamic Glaze,"A thick, sweet, and tangy glaze made from aged balsamic vinegar and blackberries, perfect for drizzling over salads, cheeses, or desserts.",63,12,18.54
50,French Camembert Cheese,"A soft, creamy cheese with a bloomy rind, offering a rich, buttery flavor that?s perfect for cheese boards or baked dishes.",1,1,40.13
51,Dark Chocolate Raspberry Bark,"Rich dark chocolate studded with tangy raspberry pieces, offering a perfect balance of sweetness and tartness.",6,2,6.71
